,underlying symbol,underlying price,description,max profit,max loss,max profit prob,max loss prob,spread premium,spread theo premium,expectation,leg1 symbol,leg2 symbol,leg1 theo,leg2 theo,leg1 delta,leg2 delta,leg1 volume,leg2 volume,leg1 inTheMoney,leg2 inTheMoney
0,AMD,78.415,Buy AMD_090420P66; Sell AMD_090420P70,0.8499999999999999,-3.1500000000000004,0.749187,0.158949,0.8499999999999999,0.8500000000000001,0.025080370244141097,AMD_090420P66,AMD_090420P70,1.075,1.925,-0.142,-0.227,33,118,0,0
1,AMD,78.415,Buy AMD_091820P67.5; Sell AMD_091820P70,0.6800000000000002,-1.8199999999999998,0.71712,0.226215,0.6800000000000002,0.6800000000000002,0.03349850905357625,AMD_091820P67.5,AMD_091820P70,1.935,2.615,-0.199,-0.252,222,779,0,0
2,CGC,18.57,Buy CGC_091820P12.5; Sell CGC_091820P15,0.55,-1.95,0.737495,0.12958,0.55,0.55,0.057227311852851244,CGC_091820P12.5,CGC_091820P15,0.355,0.905,-0.098,-0.213,41,107,0,0
3,CHWY,48.89,Buy CHWY_091820P40; Sell CHWY_091820P43,0.7900000000000003,-2.21,0.704396,0.206167,0.7900000000000003,0.7899999999999998,0.029400214642793524,CHWY_091820P40,CHWY_091820P43,1.28,2.07,-0.175,-0.257,434,21,0,0
4,FSLY,92.715,Buy FSLY_091820P70; Sell FSLY_091820P75,1.5999999999999996,-3.4000000000000004,0.701585,0.244005,1.5999999999999996,1.5999999999999996,0.0797744886144153,FSLY_091820P70,FSLY_091820P75,4.75,6.35,-0.186,-0.233,61,40,0,0
5,GDX,41.755,Buy GDX_091820P35; Sell GDX_091820P38,0.6649999999999999,-2.335,0.715922,0.15018,0.6649999999999999,0.6649999999999999,0.028981760536458713,GDX_091820P35,GDX_091820P38,0.525,1.19,-0.134,-0.26,236,753,0,0
6,GDXJ,59.125,Buy GDXJ_091820P47; Sell GDXJ_091820P51,0.79,-3.21,0.7623219999999999,0.140636,0.79,0.7900000000000001,0.027361210995016295,GDXJ_091820P47,GDXJ_091820P51,0.83,1.62,-0.12,-0.209,31,21,0,0
7,LYV,46.265,Buy LYV_091820P37.5; Sell LYV_091820P40,0.645,-1.855,0.721633,0.202786,0.645,0.6399999999999999,0.03720769672314538,LYV_091820P37.5,LYV_091820P40,1.215,1.855,-0.17,-0.239,31,108,0,0
8,PAAS,35.635,Buy PAAS_091820P28; Sell PAAS_091820P31,0.6900000000000002,-2.3099999999999996,0.720255,0.167043,0.6900000000000002,0.69,0.02430999580081686,PAAS_091820P28,PAAS_091820P31,0.72,1.41,-0.14,-0.245,206,33,0,0
9,UAL,31.775,Buy UAL_091820P23; Sell UAL_091820P27,0.9099999999999999,-3.09,0.707299,0.156056,0.9099999999999999,0.9099999999999999,0.02617542976388412,UAL_091820P23,UAL_091820P27,0.72,1.63,-0.123,-0.245,60,112,0,0
10,UAL,31.775,Buy UAL_091820P24; Sell UAL_091820P27,0.7349999999999999,-2.265,0.707299,0.185509,0.7349999999999999,0.7349999999999999,0.02515436402054447,UAL_091820P24,UAL_091820P27,0.895,1.63,-0.148,-0.245,62,112,0,0
11,VXX,29.255,Buy VXX_091820P20; Sell VXX_091820P23,0.675,-2.325,0.793494,0.07578,0.675,0.675,0.13270896190794668,VXX_091820P20,VXX_091820P23,0.225,0.9,-0.06,-0.168,51,180,0,0
12,VXX,29.255,Buy VXX_091820P21; Sell VXX_091820P23,0.515,-1.4849999999999999,0.793494,0.113578,0.515,0.515,0.15053052881678372,VXX_091820P21,VXX_091820P23,0.385,0.9,-0.091,-0.168,44,180,0,0
13,VXX,29.255,Buy VXX_091820P21; Sell VXX_091820P24,0.8800000000000001,-2.12,0.742448,0.113578,0.8800000000000001,0.8799999999999999,0.1738774438871595,VXX_091820P21,VXX_091820P24,0.385,1.265,-0.091,-0.212,44,57,0,0
14,VXX,29.255,Buy VXX_091820P22; Sell VXX_091820P24,0.6650000000000001,-1.335,0.742448,0.156722,0.6650000000000001,0.6649999999999999,0.20453916064042618,VXX_091820P22,VXX_091820P24,0.6,1.265,-0.127,-0.212,124,57,0,0
15,XOP,51.545,Buy XOP_091820P39; Sell XOP_091820P43,0.55,-3.45,0.816883,0.0937513,0.55,0.55,0.014893001338217469,XOP_091820P39,XOP_091820P43,0.445,0.995,-0.081,-0.164,2192,25,0,0
16,XOP,51.545,Buy XOP_091820P40; Sell XOP_091820P44,0.6499999999999999,-3.35,0.788484,0.110958,0.6499999999999999,0.6499999999999999,0.019559870569146875,XOP_091820P40,XOP_091820P44,0.54,1.19,-0.097,-0.191,133,44,0,0
